ebotdata__Business_Metric_Type__c,ebotdata__Current_Confidence_For_Utterance__c,ebotdata__Current_Dialog_Id__c,ebotdata__Current_Dialog_Name__c,ebotdata__Current_Threshold_High__c,ebotdata__Current_Utterance__c,ebotdata__Intent_Name__c,ebotdata__Intent_Type__c,ebotdata__Live_Agent_Session_Id__c,ebotdata__Successful_Resolution__c,ebotdata__Topic_Name__c
,1,0Xd1l00000001ChCAI,Confused,0.8465,hi there,bot.fallback,Generic,02997096-4f7d-45de-9928-e5039864b552,,
Direct,0.5994,0Xd1l00000001CkCAI,Questions_Portal,0.1396,why can't i login to Questions,business.questions.not_connecting.ie,Business,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,questions
Start,0.9721,0Xd1l00000001CuCAI,Get_Article,0.6355,interface to office isn't loading,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9721,0Xd1l00000001D2CAI,Escalation_Flow,0.6355,interface to office isn't loading,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001ChCAI,Confused,,trouble to select an intems numbers on desktop,bot.fallback,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.5101,0Xd1l00000001DSCAY,Error_Switch_To,0.0222,I can't select on nielsen,business.desktop.error.switch_to,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
Start,0.5101,0Xd1l00000001CuCAI,Get_Article,0.0222,I can't select on nielsen,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9986,0Xd1l00000001D2CAI,Escalation_Flow,0.9925,"help ""Cannot open more than 5 research report groups""",bot.escalation,Generic,52c933d1-acba-4b0b-8746-5584bb72f890,,
,,0Xd1l00000001ChCAI,Confused,,getting an npower error,bot.fallback,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,getting an npower error,bot.offer_escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9929,0Xd1l00000001DJCAY,Access_Issues,0.678,unable to get to gtc,business.gtc.access_issues,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Global Track Complete
Start,0.9929,0Xd1l00000001CuCAI,Get_Article,0.678,unable to get to gtc,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9929,0Xd1l00000001D2CAI,Escalation_Flow,0.678,unable to get to gtc,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9951,0Xd1l00000001DJCAY,Access_Issues,0.678,having problems with global track complete gtc,business.gtc.access_issues,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Global Track Complete
Start,0.9951,0Xd1l00000001CuCAI,Get_Article,0.678,having problems with global track complete gtc,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9951,0Xd1l00000001D2CAI,Escalation_Flow,0.678,having problems with global track complete gtc,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9909,0Xd1l00000001DLCAY,Error_8004ade9,0.963,I see failed to open database error in Questions,business.desktop.error.8004ade9,Business,02997096-4f7d-45de-9928-e5039864b552,,questions Desktop
Start,0.9909,0Xd1l00000001CuCAI,Get_Article,0.963,I see failed to open database error in Questions,bot.business_answer.presentation,Generic,02997096-4f7d-45de-9928-e5039864b552,,
Direct,1,0Xd1l00000001DMCAY,Blank_Screen,0.9953,i see an empty screen in AD,business.desktop.blank_screen,Business,bebb40d5-7d6b-4611-bbc5-446e568daa78,,questions Desktop
Start,1,0Xd1l00000001CuCAI,Get_Article,0.9427,not able to open project,bot.business_answer.presentation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,0.9951,0Xd1l00000001D2CAI,Escalation_Flow,0.0149,window for research report isn't opening,bot.escalation,Generic,db2ebe83-3404-434a-927a-68239eb7dca7,,
,,0Xd1l00000001ChCAI,Confused,,this screen is blank,bot.fallback,Generic,02deb478-5a28-470a-9b3d-5fc5f4a68285,,
,,0Xd1l00000001ChCAI,Confused,,the screen is white,bot.fallback,Generic,9a08a55d-f8ee-45b1-bce4-d10a6923e4f0,,
,0.9938,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,where do I find the latest book,bot.escalation,Generic,97b75d26-ae36-46ce-8d44-958608a5bb9a,,
Start,0.2429,0Xd1l00000001CuCAI,Get_Article,0.1396,Questions,bot.business_answer.presentation,Generic,0c17a7bd-e720-41c7-90e3-ad731fac1942,,
