ebotdata__Business_Metric_Type__c,ebotdata__Current_Confidence_For_Utterance__c,ebotdata__Current_Dialog_Id__c,ebotdata__Current_Dialog_Name__c,ebotdata__Current_Threshold_High__c,ebotdata__Current_Utterance__c,ebotdata__Intent_Name__c,ebotdata__Intent_Type__c,ebotdata__Live_Agent_Session_Id__c,ebotdata__Successful_Resolution__c,ebotdata__Topic_Name__c
,,0Xd1l00000001ChCAI,Confused,,dummy input,bot.fallback,Generic,7ffc534d-1989-4c41-8929-07898fcc281b,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,dummy input,bot.offer_escalation,Generic,7ffc534d-1989-4c41-8929-07898fcc281b,,
Direct,1,0Xd1l00000001DfCAI,Add_Schedule,0.99,dummy input,business.product.add_schedule,Business,9b57c087-e6b3-4b32-adae-809a95368745,,product
,1,0Xd1l00000001D2CAI,Escalation_Flow,0.9917,dummy input,bot.escalation,Generic,e08a1810-657c-47bf-ae4f-f69012c1653f,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,dummy input,bot.offer_escalation,Generic,3fdc583c-7c91-495b-8de1-e1b92d21b3f5,,
,0.9454,0Xd1l00000001D2CAI,Escalation_Flow,0.9,dummy input,bot.escalation,Generic,89b41413-2425-45b6-94f6-9f661f83f843,,
Direct,0.9913,0Xd1l00000001DNCAY,DBDate,0.9,dummy input,business.desktop.dbdate,Business,89b41413-2425-45b6-94f6-9f661f83f843,,questions Desktop
Start,0.9913,0Xd1l00000001CuCAI,Get_Article,0.9,dummy input,bot.business_answer.presentation,Generic,89b41413-2425-45b6-94f6-9f661f83f843,,
,0.9913,0Xd1l00000001D2CAI,Escalation_Flow,0.9,dummy input,bot.escalation,Generic,89b41413-2425-45b6-94f6-9f661f83f843,,
Direct,1,0Xd1l00000001DLCAY,Error_8004ade9,0.9,dummy input,business.desktop.error.8004ade9,Business,89b41413-2425-45b6-94f6-9f661f83f843,,questions Desktop
