ebotdata__Business_Metric_Type__c,ebotdata__Current_Confidence_For_Utterance__c,ebotdata__Current_Dialog_Id__c,ebotdata__Current_Dialog_Name__c,ebotdata__Current_Threshold_High__c,ebotdata__Current_Utterance__c,ebotdata__Intent_Name__c,ebotdata__Intent_Type__c,ebotdata__Live_Agent_Session_Id__c,ebotdata__Successful_Resolution__c,ebotdata__Topic_Name__c
,,0Xd1l00000001ChCAI,Confused,,im having trouble selecting item,bot.fallback,Generic,2755d59b-b599-4423-8b28-1463b15a4bac,,
Start,0.9929,0Xd1l00000001CuCAI,Get_Article,0.678,unable to get to gtc,bot.business_answer.presentation,Generic,6ab087df-fd43-4eef-be41-2f179f5c2d2b,,
,0.9854,0Xd1l00000001D2CAI,Escalation_Flow,0.9838,i need help for the dictionary,bot.escalation,Generic,e1b26a69-1f8f-42b7-b136-cc8407f4eb4d,,
,0.5101,0Xd1l00000001D2CAI,Escalation_Flow,0.0222,I can't select on Company,bot.escalation,Generic,fcfe3b2b-9dd7-4b5d-90e9-8c47fc41e53a,,
Direct,0.999,0Xd1l00000001DTCAY,Secondary_Monitor,0.3215,I need help to make a selection for questions desktop,business.desktop.secondary_monitor,Business,d25c5a78-97e4-4079-b67f-5f4b5354d8d5,,questions Desktop
Start,0.999,0Xd1l00000001CuCAI,Get_Article,0.3215,I need help to make a selection for questions desktop,bot.business_answer.presentation,Generic,d25c5a78-97e4-4079-b67f-5f4b5354d8d5,,
,0.999,0Xd1l00000001D2CAI,Escalation_Flow,0.3215,I need help to make a selection for questions desktop,bot.escalation,Generic,d25c5a78-97e4-4079-b67f-5f4b5354d8d5,,
Direct,0.2961,0Xd1l00000001DhCAI,Error_800004005,0.0438,i see an error,business.product.error.800004005,Business,52eb2912-d9d9-4175-a5ec-021a46299c24,,product
Start,0.2961,0Xd1l00000001CuCAI,Get_Article,0.0438,i see an error,bot.business_answer.presentation,Generic,52eb2912-d9d9-4175-a5ec-021a46299c24,,
Direct,0.9328,0Xd1l00000001CsCAI,EVIP,0.8223,i can't find evip,business.questions.evip,Business,2e72b55e-094f-4e03-8059-8d621bb62d02,,questions
Start,0.5994,0Xd1l00000001CuCAI,Get_Article,0.1396,why can't i login to questions,bot.business_answer.presentation,Generic,3bd4169a-b5c3-4402-aa7c-26d97dc6261f,,
Direct,0.9697,0Xd1l00000001CtCAI,Password_Reset,0.361,why can't I reset my password,business.questions.password_reset,Business,f87902c0-d89f-481b-9b5b-122519b46bce,,questions
,,0Xd1l00000001ChCAI,Confused,,this screen is blank,bot.fallback,Generic,6e8ff75e-538d-4d90-94cd-01a5a0fc97ce,,
,,0Xd1l00000001ChCAI,Confused,,the screen is white,bot.fallback,Generic,6e8ff75e-538d-4d90-94cd-01a5a0fc97ce,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,the screen is white,bot.offer_escalation,Generic,6e8ff75e-538d-4d90-94cd-01a5a0fc97ce,,
,,0Xd1l00000001ChCAI,Confused,,I see a blank screen on the desktop,bot.fallback,Generic,6cc33f1d-eb78-45a0-9702-c55a51361e71,,
Direct,0.9721,0Xd1l00000001DOCAY,Crash_On_Launch,0.6355,interface to office isn't loading,business.desktop.crash_on_launch,Business,3481c137-56fe-4bba-b24f-5c26580d8ac9,,questions Desktop
Start,0.9721,0Xd1l00000001CuCAI,Get_Article,0.6355,interface to office isn't loading,bot.business_answer.presentation,Generic,3481c137-56fe-4bba-b24f-5c26580d8ac9,,
Start,0.9328,0Xd1l00000001CuCAI,Get_Article,0.8223,i can't find evip,bot.business_answer.presentation,Generic,2e72b55e-094f-4e03-8059-8d621bb62d02,,
,0.9328,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,i can't find evip,bot.escalation,Generic,2e72b55e-094f-4e03-8059-8d621bb62d02,,
Direct,0.3207,0Xd1l00000001DSCAY,Error_Switch_To,0.0222,dbdate is corrupt in questions,business.desktop.error.switch_to,Business,8887c435-4c17-4f28-9901-9706850e0f74,,questions Desktop
Start,0.3207,0Xd1l00000001CuCAI,Get_Article,0.0222,dbdate is corrupt in questions,bot.business_answer.presentation,Generic,8887c435-4c17-4f28-9901-9706850e0f74,,
,,0Xd1l00000001ChCAI,Confused,,looking for Company VIP,bot.fallback,Generic,1aabe3d4-48d2-4430-abec-8d71f7c9fe3b,,
Direct,0.5446,0Xd1l00000001CkCAI,Questions_Portal,0.1396,can someone help me connect to questions,business.questions.not_connecting.ie,Business,1aabe3d4-48d2-4430-abec-8d71f7c9fe3b,,questions
Start,0.5446,0Xd1l00000001CuCAI,Get_Article,0.1396,can someone help me connect to questions,bot.business_answer.presentation,Generic,1aabe3d4-48d2-4430-abec-8d71f7c9fe3b,,
Direct,0.6949,0Xd1l00000001DNCAY,dbdata,0.1338,why is Company questions Desktop missing some current data,business.desktop.dbdata,Business,5e84f796-0046-480c-8cc7-23a4ee53db64,,questions Desktop
Direct,0.9974,0Xd1l00000001DLCAY,Error_8004ade9,0.963,why am I getting error 8004ade9 in questions Desktop,business.desktop.error.8004ade9,Business,d5c82e46-192e-4a22-94b5-2b00a16f1bf7,,questions Desktop
Start,0.9974,0Xd1l00000001CuCAI,Get_Article,0.963,why am I getting error 8004ade9 in questions Desktop,bot.business_answer.presentation,Generic,d5c82e46-192e-4a22-94b5-2b00a16f1bf7,,
Direct,0.9771,0Xd1l00000001DLCAY,Error_8004ade9,0.963,there is a red x in questions,business.desktop.error.8004ade9,Business,be17a577-99f2-40d3-b437-1eb9163b8214,,questions Desktop
Start,0.9771,0Xd1l00000001CuCAI,Get_Article,0.963,there is a red x in questions,bot.business_answer.presentation,Generic,be17a577-99f2-40d3-b437-1eb9163b8214,,
,0.5446,0Xd1l00000001D2CAI,Escalation_Flow,0.1396,can someone help me connect to questions,bot.escalation,Generic,1aabe3d4-48d2-4430-abec-8d71f7c9fe3b,,
Direct,0.9817,0Xd1l00000001CtCAI,Password_Reset,0.361,can you help me change my password,business.questions.password_reset,Business,011b6335-d8dc-4981-9048-18c97b37a96e,,questions
Direct,0.7903,0Xd1l00000001DOCAY,Crash_On_Launch,0.6355,how do I load questions,business.desktop.crash_on_launch,Business,6cc33f1d-eb78-45a0-9702-c55a51361e71,,questions Desktop
Start,0.7903,0Xd1l00000001CuCAI,Get_Article,0.6355,how do I load questions,bot.business_answer.presentation,Generic,6cc33f1d-eb78-45a0-9702-c55a51361e71,,
,0.7903,0Xd1l00000001D2CAI,Escalation_Flow,0.6355,how do I load questions,bot.escalation,Generic,6cc33f1d-eb78-45a0-9702-c55a51361e71,,
,0.9721,0Xd1l00000001D2CAI,Escalation_Flow,0.6355,interface to office isn't loading,bot.escalation,Generic,3481c137-56fe-4bba-b24f-5c26580d8ac9,,
Direct,0.8587,0Xd1l00000001CsCAI,EVIP,0.8223,not finding evip,business.questions.evip,Business,4867a13f-f6d3-4b90-87c4-ee1d50f6698f,,questions
